doc_num,statute_code,js_date,doc_incarcerated_term_yrs,statute_desc,violent,file_month,pwid
606599,63-2-401,2018-09-20,2.65,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
822637,63-2-401,2018-08-29,6,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
606632,63-2-401,2018-03-06,2.94,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
725386,63-2-401,2018-11-14,15,DIST OF CDS/POSS W/INTENT,N,2018-11-01,TRUE
598931,63-2-401,2017-04-07,5,DIST OF CDS/POSS W/INTENT,N,2017-04-01,TRUE
822734,63-2-401,2018-09-26,5,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
667958,63-2-401,2018-04-06,5,DIST OF CDS/POSS W/INTENT,N,2018-04-01,TRUE
606704,63-2-401,2018-10-10,6,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
472765,63-2-401,2018-03-07,8,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
135690,63-2-401,2018-07-30,10,DIST OF CDS/POSS W/INTENT,N,2018-07-01,TRUE
822848,63-2-401,2018-08-31,5,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
667991,63-2-401,2019-05-08,20,DIST OF CDS/POSS W/INTENT,N,2019-05-01,TRUE
725562,63-2-401,2017-08-23,10,DIST OF CDS/POSS W/INTENT,N,2017-08-01,TRUE
822989,63-2-401,2018-10-04,5,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
823078,63-2-401,2019-06-11,5,DIST OF CDS/POSS W/INTENT,N,2019-06-01,TRUE
823110,63-2-401,2020-01-22,2,DIST OF CDS/POSS W/INTENT,N,2020-01-01,TRUE
823111,63-2-401,2018-10-02,3,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
823132,63-2-401,2018-10-02,3.21,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
823137,63-2-401,2019-07-23,5,DIST OF CDS/POSS W/INTENT,N,2019-07-01,TRUE
725661,63-2-401,2017-11-15,5,DIST OF CDS/POSS W/INTENT,N,2017-11-01,TRUE
823139,63-2-401,2018-08-27,2,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
823171,63-2-401,2018-10-02,7,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
823193,63-2-401,2018-09-27,12,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
550940,63-2-401,2018-05-25,5,DIST OF CDS/POSS W/INTENT,N,2018-05-01,TRUE
823253,63-2-401,2018-11-15,20,DIST OF CDS/POSS W/INTENT,N,2018-11-01,TRUE
725765,63-2-401,2018-03-12,6,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
